Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,,
2021-10-15,4471.3701171875,4471.3701171875,4475.81982421875,4447.68994140625,4447.68994140625,3000560000
2021-10-18,4486.4599609375,4486.4599609375,4488.75,4447.47021484375,4463.72021484375,2683540000
2021-10-19,4519.6298828125,4519.6298828125,4520.39990234375,4496.41015625,4497.33984375,2531210000
2021-10-20,4536.18994140625,4536.18994140625,4540.8701171875,4524.39990234375,4524.419921875,2671560000
2021-10-21,4549.77978515625,4549.77978515625,4551.43994140625,4526.89013671875,4532.240234375,3016950000
2021-10-22,4544.89990234375,4544.89990234375,4559.669921875,4524.0,4546.1201171875,3062810000
2021-10-25,4566.47998046875,4566.47998046875,4572.6201171875,4537.35986328125,4553.68994140625,3250210000
2021-10-26,4574.7900390625,4574.7900390625,4598.52978515625,4569.169921875,4578.68994140625,2866500000
2021-10-27,4551.68017578125,4551.68017578125,4584.56982421875,4551.66015625,4580.22021484375,3259510000
2021-10-28,4596.419921875,4596.419921875,4597.5498046875,4562.83984375,4562.83984375,3197560000
2021-10-29,4605.3798828125,4605.3798828125,4608.080078125,4567.58984375,4572.8701171875,3632260000
2021-11-01,4613.669921875,4613.669921875,4620.33984375,4595.06005859375,4610.6201171875,2924000000
2021-11-02,4630.64990234375,4630.64990234375,4635.14990234375,4613.33984375,4613.33984375,3309690000
2021-11-03,4660.56982421875,4660.56982421875,4663.4599609375,4621.18994140625,4630.64990234375,3339440000
2021-11-04,4680.06005859375,4680.06005859375,4683.0,4662.58984375,4662.93017578125,3332940000
2021-11-05,4697.52978515625,4697.52978515625,4718.5,4681.31982421875,4699.259765625,3491150000
2021-11-08,4701.7001953125,4701.7001953125,4714.919921875,4694.39013671875,4701.47998046875,3465720000
2021-11-09,4685.25,4685.25,4708.52978515625,4670.8701171875,4707.25,3110230000
2021-11-10,4646.7099609375,4646.7099609375,4684.85009765625,4630.85986328125,4670.259765625,3581630000
2021-11-11,4649.27001953125,4649.27001953125,4664.5498046875,4648.31005859375,4659.39013671875,2623140000
